timestamp,symbol,opening,high,low,closing,volume,trades,vwap,home_notional,foreign_notional,bin_size
2015-11-07 00:00:00+00:00,XBTUSD,402.0,408.32,359.0,377.61,3353266,3348,377.228,12649.461724400004,4775453.596550855,1d
2015-11-08 00:00:00+00:00,XBTUSD,377.61,394.99,373.91,384.34,2032334,2390,386.006,7844.921816199997,3028645.6043051532,1d
2015-11-09 00:00:00+00:00,XBTUSD,384.34,394.82,365.0,372.0,1938629,2357,380.819,7382.674751900005,2812487.2952603325,1d
2015-11-10 00:00:00+00:00,XBTUSD,372.0,395.21,361.32,383.25,2043266,2307,378.041,7724.378628199987,2921418.6806321354,1d
2015-11-11 00:00:00+00:00,XBTUSD,383.25,385.96,326.88,339.45,3018387,3044,357.633,10794.73413580003,3869324.2635599715,1d
2015-11-12 00:00:00+00:00,XBTUSD,339.45,344.0,301.09,314.5,3906724,5000,316.574,12367.68274530001,3918249.1069333213,1d
2015-11-13 00:00:00+00:00,XBTUSD,314.5,349.84,313.7,338.25,3688177,4733,331.499,12226.284062699982,4055031.7679939847,1d
2015-11-14 00:00:00+00:00,XBTUSD,338.25,344.75,325.21,338.81,1939377,2873,335.704,6510.565819000013,2186010.0486353124,1d
2015-11-15 00:00:00+00:00,XBTUSD,338.81,345.03,329.31,333.63,1637971,2456,334.589,5480.46932860001,1833804.229016424,1d
2015-11-16 00:00:00+00:00,XBTUSD,333.63,335.08,314.5,320.43,1621865,1831,323.156,5241.16002900001,1694212.532677135,1d
2015-11-17 00:00:00+00:00,XBTUSD,320.43,334.77,314.1,332.05,1502612,1497,323.189,4856.271138900011,1569970.5655624478,1d
2015-11-18 00:00:00+00:00,XBTUSD,332.05,342.69,331.15,336.4,1530487,2543,336.978,5157.400002999989,1738007.7463175696,1d
2015-11-19 00:00:00+00:00,XBTUSD,336.4,339.69,328.77,336.5,1208577,2198,334.706,4045.1780416999964,1354001.5547174036,1d
2015-11-20 00:00:00+00:00,XBTUSD,336.5,336.84,324.85,326.65,1209300,1614,330.737,3999.6019695000045,1322935.44261429,1d
2015-11-21 00:00:00+00:00,XBTUSD,326.65,327.37,309.99,322.09,1878107,2360,320.236,6014.369140500005,1926200.5315714343,1d
2015-11-22 00:00:00+00:00,XBTUSD,322.09,330.62,319.67,328.24,1113793,1135,325.745,3628.1206499000004,1181929.0315607318,1d
2015-11-23 00:00:00+00:00,XBTUSD,328.24,328.6,319.81,324.92,912601,938,324.242,2959.0355517999983,959469.8059849952,1d
2015-11-24 00:00:00+00:00,XBTUSD,324.92,331.94,320.96,323.81,803797,1317,323.774,2602.483860199999,842622.8795889649,1d
2015-11-25 00:00:00+00:00,XBTUSD,323.81,323.76,315.79,319.8,927965,1517,320.995,2978.7189981999963,956176.0199322597,1d
2015-11-26 00:00:00+00:00,XBTUSD,319.8,334.49,315.84,329.42,1220511,2020,324.438,3959.805287899998,1284949.39054893,1d
2015-11-27 00:00:00+00:00,XBTUSD,329.42,372.42,329.25,354.2,3054060,4410,348.706,10649.70199369999,3716137.1833632574,1d
2015-11-28 00:00:00+00:00,XBTUSD,354.2,367.4,350.0,361.7,2415770,3817,360.221,8702.105141299997,3135025.2073193802,1d
2015-11-29 00:00:00+00:00,XBTUSD,361.7,362.29,350.0,359.72,1678983,2750,356.207,5980.661946799989,2130438.3351791985,1d
2015-11-30 00:00:00+00:00,XBTUSD,359.72,382.74,355.1,379.5,1407040,2373,367.912,5176.670592700001,1905224.4198820419,1d
2015-12-01 00:00:00+00:00,XBTUSD,379.5,388.5,373.32,381.43,2619821,4803,380.431,9966.607210899983,3791815.7504543914,1d
2015-12-02 00:00:00+00:00,XBTUSD,381.43,384.75,347.03,364.1,2092391,3504,365.845,7654.909578000021,2801793.164190949,1d
